,MEAN DEP SCORE,LA CODE,STD DEP SCORE,LAD,LAD CODE,WARD CODE,All categories: Age,Children,Adults,Pensioners,All categories: Residence type,Lives in a household,Lives in a communal establishment,Communal establishments with persons sleeping rough identified,All categories: Ethnic group (detailed),White: English/Welsh/Scottish/Northern Irish/British,White: Irish,White: Polish,Asian/Asian British: Indian or British Indian,Asian/Asian British: Pakistani/British Pakistani,Black/African/Caribbean/Black British: African,Black/African/Caribbean/Black British: Caribbean,Other ethnic group: Any other ethnic group,All categories: Religion,Christian,Buddhist,Hindu,Jewish,Muslim (Islam),Sikh,Other religion: Total,No religion: Total,Religion not stated,All usual residents ,Area ,Density
46,24.706107705263157,00CA,17.61705161521971,E08000014,00CA,00CAGZ,273790,54334.0,165511.0,53945.0,273790,269697,4093,1,273790.0,259629.0,2312.0,1499.0,666.0,127.0,464.0,223.0,8870.0,273790.0,210184.0,504.0,525.0,486.0,1189.0,105.0,568.0,43196.0,17033.0,273790,15314,17.9
47,27.219729198067625,00CB,20.504556188558148,E08000015,00CB,00CBFZ,319783,67721.0,194553.0,57509.0,319783,316384,3399,0,319783.0,303682.0,2667.0,812.0,1344.0,226.0,389.0,189.0,10474.0,319783.0,225147.0,905.0,742.0,265.0,1809.0,236.0,830.0,68209.0,21640.0,319783,15705,20.4
48,28.75781663945578,00CC,15.033502304708142,E08000016,00CC,00CCGT,231221,48690.0,145077.0,37454.0,231221,229539,1682,0,231221.0,222164.0,567.0,1377.0,442.0,211.0,995.0,149.0,5316.0,231221.0,158287.0,344.0,232.0,49.0,945.0,197.0,623.0,55536.0,15008.0,231221,32905,7
49,30.03062815025905,00CE,16.311327642419833,E08000017,00CE,00CEFY,302402,65400.0,188990.0,48012.0,302402,297200,5202,1,302402.0,277740.0,1183.0,4469.0,1865.0,2728.0,1309.0,778.0,12330.0,302402.0,199320.0,683.0,881.0,79.0,4990.0,1140.0,932.0,73656.0,20721.0,302402,56799,5.3
50,28.051214090361462,00CF,15.566913655210032,E08000018,00CF,00CFFZ,257280,56059.0,159225.0,41996.0,257280,255334,1946,5,257280.0,236438.0,776.0,760.0,961.0,7609.0,1672.0,283.0,8781.0,257280.0,171068.0,401.0,433.0,63.0,9614.0,293.0,595.0,57783.0,17030.0,257280,28654,9
51,27.682481079646003,00CG,18.76326999004659,E08000019,00CG,00CGGY,552698,113311.0,358561.0,80826.0,552698,539064,13634,2,552698.0,446837.0,2891.0,2233.0,5868.0,21990.0,11543.0,5506.0,55830.0,552698.0,290299.0,2282.0,3566.0,747.0,42801.0,942.0,1961.0,172516.0,37584.0,552698,36795,15
52,29.29423152380952,00CH,16.045988238181035,E08000020,00CH,00CHGF,200214,40276.0,126742.0,33196.0,200214,197726,2488,1,200214.0,188355.0,592.0,1043.0,916.0,617.0,903.0,90.0,7698.0,200214.0,134075.0,423.0,497.0,3004.0,2096.0,356.0,529.0,47758.0,11476.0,200214,14235,14.1
53,29.46802542196531,00CJ,19.57290698812748,E08000021,00CJ,00CJGD,280177,54130.0,189534.0,36513.0,280177,271212,8965,5,280177.0,229520.0,1826.0,1375.0,5072.0,6364.0,4664.0,217.0,31139.0,280177.0,158138.0,1701.0,3144.0,671.0,17561.0,1223.0,755.0,79345.0,17639.0,280177,11344,24.7
54,22.261284744186064,00CK,14.539103600587802,E08000022,00CK,00CKFX,200801,40344.0,127323.0,33134.0,200801,199142,1659,0,200801.0,190936.0,596.0,393.0,1095.0,319.0,576.0,91.0,6795.0,200801.0,128185.0,436.0,513.0,92.0,1493.0,354.0,528.0,56408.0,12792.0,200801,8239,24.4
55,28.504347737864077,00CL,14.493676840052554,E08000023,00CL,00CLFZ,148127,29662.0,93148.0,25317.0,148127,146729,1398,0,148127.0,140821.0,305.0,148.0,643.0,434.0,316.0,61.0,5399.0,148127.0,104090.0,223.0,254.0,57.0,2854.0,424.0,362.0,31247.0,8616.0,148127,6441,23
